91.222.244.0/22,UA,UA-30,Kyiv,
91.222.244.0/23,UA,UA-30,Kyiv,
91.222.244.0/24,UA,UA-30,Kyiv,
91.222.245.0/24,UA,UA-30,Kyiv,
91.222.246.0/23,UA,UA-30,Kyiv,
91.222.246.0/24,UA,UA-30,Kyiv,
91.222.247.0/24,UA,UA-30,Kyiv,
193.242.156.0/22,UA,UA-30,Kyiv,
193.242.156.0/23,UA,UA-30,Kyiv,
193.242.156.0/24,UA,UA-30,Kyiv,
193.242.157.0/24,UA,UA-30,Kyiv,
193.242.158.0/23,UA,UA-30,Kyiv,
193.242.158.0/24,UA,UA-30,Kyiv,
193.242.159.0/24,UA,UA-30,Kyiv,
141.105.129.0/24,UA,UA-30,Kyiv,
141.105.139.0/24,UA,UA-30,Kyiv,
185.126.253.0/24,UA,UA-30,Kyiv,
212.79.123.0/24,UA,UA-30,Kyiv,
212.79.124.0/24,UA,UA-30,Kyiv,

